station_id_1,station_id_2,num_trips,date,max_temperature_f,mean_temperature_f,min_temperature_f,max_dew_point_f,mean_dew_point_f,min_dew_point_f,max_humidity,mean_humidity,min_humidity,max_sea_level_pressure_inches,mean_sea_level_pressure_inches,min_sea_level_pressure_inches,max_visibility_miles,mean_visibility_miles,min_visibility_miles,max_wind_Speed_mph,mean_wind_speed_mph,max_gust_speed_mph,precipitation_inches,cloud_cover,events,wind_dir_degrees,zip_code,is_weekday
60,50,10,5/1/2014,92.0,75.0,58.0,48.0,45.0,35.0,60.0,41.0,21.0,30.09,30.06,30.03,10.0,10.0,10.0,22.0,6.0,26.0,0,3.0,,290.0,95113,1
60,50,11,11/17/2013,63.0,54.0,45.0,48.0,46.0,43.0,93.0,73.0,52.0,30.1,30.03,29.94,10.0,10.0,10.0,13.0,4.0,15.0,0,3.0,,225.0,95113,0
60,50,5,4/19/2015,70.0,60.0,50.0,54.0,49.0,46.0,89.0,70.0,51.0,29.99,29.94,29.87,10.0,10.0,8.0,15.0,6.0,20.0,0,4.0,,276.0,95113,0
60,50,9,9/27/2014,74.0,67.0,59.0,56.0,54.0,52.0,80.0,65.0,49.0,29.94,29.9,29.83,10.0,10.0,10.0,16.0,6.0,22.0,0,3.0,,304.0,95113,0
60,50,2,4/6/2014,76.0,61.0,46.0,51.0,47.0,43.0,93.0,65.0,36.0,30.24,30.18,30.1,10.0,10.0,10.0,16.0,5.0,23.0,0,2.0,,288.0,95113,0
60,50,17,5/21/2014,77.0,66.0,55.0,53.0,50.0,48.0,86.0,63.0,39.0,29.98,29.95,29.9,10.0,10.0,10.0,20.0,7.0,24.0,0,3.0,,51.0,95113,1
60,50,12,2/16/2014,63.0,55.0,47.0,54.0,45.0,33.0,100.0,67.0,34.0,30.21,30.13,30.05,10.0,9.0,2.0,14.0,5.0,23.0,0.04,5.0,Rain,307.0,95113,0
60,50,19,6/17/2014,78.0,65.0,52.0,48.0,44.0,37.0,83.0,54.0,24.0,29.96,29.92,29.9,10.0,10.0,10.0,21.0,10.0,24.0,0,1.0,,295.0,95113,1
60,50,12,8/13/2014,81.0,71.0,61.0,58.0,56.0,54.0,84.0,63.0,42.0,30.0,29.96,29.92,10.0,10.0,10.0,20.0,8.0,24.0,0,3.0,,313.0,95113,1
60,50,14,10/15/2013,79.0,63.0,47.0,44.0,37.0,30.0,66.0,43.0,19.0,30.04,30.0,29.94,10.0,10.0,10.0,17.0,5.0,21.0,0,0.0,,292.0,95113,1
60,50,19,4/25/2015,64.0,58.0,52.0,55.0,48.0,39.0,100.0,74.0,48.0,30.09,29.98,29.9,10.0,9.0,3.0,20.0,10.0,26.0,0.33,6.0,Rain,300.0,95113,0
60,50,18,5/15/2014,89.0,74.0,58.0,45.0,36.0,22.0,48.0,29.0,9.0,30.1,30.07,30.04,10.0,10.0,10.0,22.0,7.0,26.0,0,4.0,,312.0,95113,1
60,50,17,6/12/2015,86.0,72.0,58.0,59.0,57.0,54.0,93.0,65.0,37.0,29.84,29.79,29.73,10.0,10.0,9.0,16.0,6.0,20.0,0,0.0,,297.0,95113,1
60,50,15,4/11/2014,70.0,62.0,54.0,54.0,51.0,48.0,93.0,75.0,57.0,29.95,29.91,29.84,10.0,10.0,8.0,14.0,6.0,17.0,0,6.0,,305.0,95113,1
60,50,17,7/22/2014,79.0,71.0,62.0,59.0,56.0,55.0,84.0,66.0,48.0,30.11,30.06,30.04,10.0,10.0,10.0,20.0,8.0,24.0,T,4.0,Rain,319.0,95113,1
60,50,15,2/17/2015,59.0,57.0,54.0,52.0,50.0,48.0,93.0,83.0,72.0,30.18,30.12,30.04,10.0,6.0,2.0,12.0,5.0,14.0,0,8.0,,115.0,95113,1
60,50,12,4/6/2015,64.0,53.0,41.0,41.0,37.0,33.0,76.0,55.0,34.0,29.99,29.94,29.88,10.0,10.0,10.0,18.0,8.0,23.0,0,4.0,,143.0,95113,1
60,50,11,11/6/2013,74.0,60.0,46.0,39.0,36.0,32.0,65.0,44.0,22.0,30.26,30.2,30.16,10.0,10.0,10.0,9.0,2.0,13.0,0,4.0,,226.0,95113,1
60,50,6,2/28/2014,62.0,57.0,52.0,56.0,50.0,46.0,100.0,78.0,55.0,29.51,29.43,29.39,10.0,8.0,2.0,25.0,12.0,35.0,0.97,7.0,Rain,125.0,95113,1
60,50,9,7/12/2015,76.0,69.0,61.0,56.0,54.0,52.0,73.0,60.0,46.0,30.05,30.02,30.0,10.0,10.0,10.0,23.0,9.0,28.0,0,5.0,,312.0,95113,0
60,50,25,9/22/2013,72.0,63.0,53.0,55.0,52.0,47.0,93.0,69.0,44.0,30.02,29.96,29.92,10.0,10.0,10.0,22.0,7.0,25.0,0,2.0,,287.0,95113,0
60,50,17,8/12/2014,79.0,69.0,59.0,57.0,55.0,52.0,78.0,61.0,43.0,29.99,29.94,29.91,10.0,10.0,10.0,17.0,9.0,21.0,0,3.0,,272.0,95113,1
60,50,17,7/21/2015,76.0,69.0,62.0,60.0,57.0,56.0,84.0,69.0,54.0,29.94,29.9,29.85,10.0,10.0,10.0,17.0,7.0,21.0,0,3.0,,310.0,95113,1
60,50,12,8/2/2015,76.0,70.0,63.0,59.0,57.0,55.0,84.0,67.0,50.0,29.99,29.95,29.9,10.0,10.0,10.0,18.0,8.0,22.0,0,5.0,,318.0,95113,0
60,50,13,10/15/2014,73.0,66.0,58.0,56.0,53.0,48.0,84.0,63.0,41.0,30.03,29.97,29.87,10.0,10.0,10.0,18.0,8.0,28.0,T,5.0,,229.0,95113,1
60,50,17,1/16/2015,63.0,53.0,42.0,53.0,47.0,41.0,96.0,74.0,51.0,30.3,30.25,30.21,10.0,7.0,4.0,12.0,4.0,14.0,0,5.0,,260.0,95113,1
60,50,25,10/25/2013,69.0,58.0,47.0,53.0,49.0,46.0,93.0,69.0,45.0,30.18,30.13,30.09,10.0,8.0,3.0,10.0,2.0,13.0,0,5.0,,302.0,95113,1
60,50,17,4/12/2015,78.0,63.0,47.0,51.0,47.0,42.0,89.0,60.0,31.0,30.06,30.01,29.95,10.0,10.0,10.0,16.0,4.0,23.0,0,1.0,,280.0,95113,0
60,50,23,7/31/2014,80.0,71.0,61.0,61.0,59.0,57.0,97.0,74.0,51.0,29.99,29.94,29.88,10.0,10.0,8.0,14.0,6.0,15.0,0,4.0,,298.0,95113,1
60,50,9,10/23/2013,67.0,60.0,52.0,53.0,52.0,51.0,100.0,82.0,63.0,29.99,29.95,29.91,10.0,5.0,1.0,13.0,4.0,15.0,0,5.0,,310.0,95113,1
60,50,5,2/1/2015,67.0,53.0,39.0,45.0,38.0,32.0,71.0,53.0,34.0,30.17,30.12,30.06,10.0,10.0,10.0,14.0,2.0,17.0,T,5.0,,0.0,95113,0
60,50,12,1/13/2015,65.0,54.0,43.0,48.0,43.0,35.0,100.0,67.0,34.0,30.22,30.18,30.1,10.0,5.0,0.0,16.0,4.0,20.0,0,3.0,Fog,203.0,95113,1
